cell rnc site sec maxpwr(rnc) zaresmoc(rbs) zaresmoc+kabel+asc pilot kabel pilot+kabel rbsid asc ret maxtilt tilt mechanical bazna sect antena pildbpa
AKASELA 21 AKASEL 1 425 421 448 273 25 300 274 1 1 60 30 0 RBS3206 S1C1 3 148
AKASELB 21 AKASEL 2 425 419 446 273 25 300 274 1 1 60 40 0 RBS3206 S2C1 3 146
AKASELC 21 AKASEL 3 425 421 448 273 25 300 274 1 1 60 50 0 RBS3206 S3C1 3 148
AKASELD 21 AKASEL 1 423 419 446 283 25 310 274 1 1 60 30 0 RBS3206 S1C2 3 136
AKASELE 21 AKASEL 2 423 419 446 283 25 310 274 1 1 60 40 0 RBS3206 S2C2 3 136
AKASELF 21 AKASEL 3 423 419 446 283 25 310 274 1 1 60 50 0 RBS3206 S3C2 3 136
AKLINIA 21 AKLINI 1 404 400 400 279 0 279 129 0 0 80 0 0 RBS6601W S1C1 4 121
AKLINIB 21 AKLINI 2 404 400 400 279 0 279 129 0 0 60 0 0 RBS6601W S2C1 5 121
AKLINID 21 AKLINI 1 404 400 400 279 0 279 129 0 0 80 0 0 RBS6601W S1C2 4 121
AKLINIE 21 AKLINI 2 404 400 400 279 0 279 129 0 0 60 0 0 RBS6601W S2C2 5 121
AKODELA 21 AKODEL 1 408 404 431 263 25 290 14 1 1 60 50 0 RBS3202 S1C1 5 141
AKODELB 21 AKODEL 2 408 403 430 263 25 290 14 1 1 60 40 0 RBS3202 S2C1 5 140
AKOLEZA 21 AKOLEZ 1 425 423 430 301 7 308 133 0 0 80 0 0 RBS6201V2W S1C1 2 122
AKOLEZB 21 AKOLEZ 2 425 423 430 301 7 308 133 0 0 80 0 0 RBS6201V2W S2C1 2 122
AKOLEZC 21 AKOLEZ 3 386 384 430 262 46 308 133 0 0 80 0 0 RBS6201V2W S3C1 2 122
AKOLEZD 21 AKOLEZ 1 425 423 430 292 7 299 133 0 0 80 0 0 RBS6201V2W S1C2 2 131
AKOLEZE 21 AKOLEZ 2 425 423 430 292 7 299 133 0 0 80 0 0 RBS6201V2W S2C2 2 131
AKOLEZF 21 AKOLEZ 3 386 384 430 214 46 260 133 0 0 80 0 0 RBS6201V2W S3C2 2 170
AKOLINA 21 AKOLIN 1 419 415 446 259 29 290 4 1 1 60 20 0 RBS3206 S1C1 3 156
AKOLINB 21 AKOLIN 2 431 427 446 291 17 310 4 1 1 60 50 0 RBS3206 S2C1 3 136
AKOLINC 21 AKOLIN 3 404 400 446 254 44 300 4 1 1 80 30 0 RBS3206 S3C1 2 146
AKOLIND 21 AKOLIN 1 419 415 446 269 29 300 4 1 1 60 20 0 RBS3206 S1C2 3 146
AKOLINE 21 AKOLIN 2 431 427 446 296 17 315 4 1 1 60 50 0 RBS3206 S2C2 3 131
AKOLINF 21 AKOLIN 3 404 400 446 264 44 310 4 1 1 80 30 0 RBS3206 S3C2 2 136
AKONEXA 21 AKONEX 1 406 402 430 260 28 288 184 0 0 60 0 0 RBS6201V2W S1C1 5 142
AKONEXB 21 AKONEX 2 408 404 430 282 26 308 184 0 0 60 0 0 RBS6201V2W S2C1 5 122
AKONEXC 21 AKONEX 3 408 404 430 262 26 288 184 0 0 60 0 0 RBS6201V2W S3C1 5 142
AKONEXD 21 AKONEX 1 406 402 430 260 28 288 184 0 0 60 0 0 RBS6201V2W S1C2 5 142
AKONEXE 21 AKONEX 2 408 404 430 282 26 308 184 0 0 60 0 0 RBS6201V2W S2C2 5 122
AKONEXF 21 AKONEX 3 408 404 430 262 26 288 184 0 0 60 0 0 RBS6201V2W S3C2 5 142
AKORAA 21 AKORA 1 450 446 446 250 0 250 8 0 0 60 0 0 RBS3206M S1C1 3 196
AKORAB 21 AKORA 2 448 444 446 238 0 240 8 1 1 80 15 0 RBS3206M S2C1 2 206
AKOSEGA 21 AKOSEG 1 416 413 433 280 18 300 6 1 1 80 30 0 RBS3202 S1C1 2 133
