CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
GDORNA 11 GDORN 1 405 401 423 286 22 310 134 1 0 60 0 0 RBS3202 S1C1 3
GDORNB 11 GDORN 2 405 401 423 276 22 300 134 1 0 60 0 0 RBS3202 S2C1 3
GKOSTAA 11 GKOSTA 1 423 419 444 273 25 300 230 1 0 60 0 0 RBS3206M S1C1 3
GKOSTAB 11 GKOSTA 2 423 419 444 273 25 300 230 1 0 60 0 0 RBS3206M S2C1 3
GKROMA 11 GKROM 1 406 402 423 287 21 310 101 1 1 80 20 0 RBS3202 S1C1 4
GKROMB 11 GKROM 2 405 401 423 276 22 300 101 1 1 80 0 0 RBS3202 S2C1 4
GKROMC 11 GKROM 3 406 402 423 277 21 300 101 1 1 80 20 0 RBS3202 S3C1 4
GLOZICA 11 GLOZIC 1 392 388 423 273 35 310 358 1 0 60 0 0 RBS3202 S1C1 3
GOELESA 11 GOELES 1 404 400 423 265 23 290 310 1 0 60 0 0 RBS3202 S1C1 5
GOELESB 11 GOELES 2 404 400 423 265 23 290 310 1 0 60 0 0 RBS3202 S2C1 5
GOELESC 11 GOELES 3 404 400 423 265 23 290 310 1 0 60 0 0 RBS3202 S3C1 5
GORICGA 11 GORICG 1 386 382 423 257 41 300 129 1 1 80 20 0 RBS3202 S1C1 2
GORICGB 11 GORICG 2 386 382 423 257 41 300 129 1 1 80 30 0 RBS3202 S2C1 2
GORICGC 11 GORICG 3 386 382 423 257 41 300 129 1 1 80 20 0 RBS3202 S3C1 2
GOSTOLA 11 GOSTOL 1 417 413 423 288 10 300 152 1 1 60 20 0 RBS3202 S1C1 5
GOSTOLB 11 GOSTOL 2 417 413 423 278 10 290 152 1 1 60 30 0 RBS3202 S2C1 5
GOTKA 11 GOTK 1 402 398 428 268 30 300 154 1 1 60 50 0 RBS3206 S1C1 3
GOTKB 11 GOTK 2 403 399 428 269 29 300 154 1 1 60 40 0 RBS3206 S2C1 3
GOTKC 11 GOTK 3 403 399 428 259 29 290 154 1 1 80 60 0 RBS3206 S3C1 2
